Cars,Model,Dist per km,Fuel,Transmission,Registration,EMI Per Month,Sale City,Manufacturing_Year,Reg_State,Other charges,Actual Price in Lakhs,Discounted Price in Lakhs,Car Age,Discount Amount,Discount %,Brand
KIA SELTOS, HTK PLUS 1.5,86637,Petrol,Manual,KA-04,12039.0,bangalore,2019,Karnataka,Included,7.03,6.82,7,0.21,2.99,KIA
Ford Ecosport, AMBIENTE 1.5L PETROL,51929,Diesel,Manual,KA-19,10574.0,bangalore,2020,Karnataka,Included,6.3,5.99,6,0.31,4.92,Ford
Maruti Swift, ZXI,38175,Petrol,Manual,KA-35,10566.0,bangalore,2016,Karnataka,Included,5.24,4.75,10,0.49,9.35,Maruti
Hyundai Elite i20, MAGNA PLUS 1.2,55623,Petrol,Manual,KA-26,9196.0,bangalore,2020,Karnataka,Included,5.21,5.21,6,0.0,0.0,Hyundai
Datsun Redi Go, T (O),43733,Petrol,Manual,KA-19,3539.0,bangalore,2017,Karnataka,Included,2.18,1.81,9,0.37,16.97,Datsun
Ford Ecosport, TITANIUM + 1.5L PETROL AT,64721,Petrol,Auto,KA-02,13954.0,bangalore,2020,Karnataka,Included,7.9,7.9,6,0.0,0.0,Ford
Hyundai GRAND I10 NIOS, SPORTZ 1.2 KAPPA VTVT DUAL TONE,42493,CNG,Manual,KA-25,8350.0,bangalore,2019,Karnataka,Included,4.73,4.73,7,0.0,0.0,Hyundai
Tata NEXON, XM PETROL,71164,Petrol,Manual,KA-01,9696.0,bangalore,2018,Karnataka,Included,5.49,5.49,8,0.0,0.0,Tata
Renault Kwid, RXT 1.0,39855,CNG,Manual,KA-55,5083.0,bangalore,2017,Karnataka,Included,3.12,2.6,9,0.52,16.67,Renault
Hyundai Creta, E PLUS 1.6 PETROL,54560,Petrol,Manual,KA-51,12964.0,bangalore,2018,Karnataka,Included,7.34,7.34,8,0.0,0.0,Hyundai
Hyundai i20, SPORTZ 1.2,60146,Diesel,Manual,KA-04,8802.0,bangalore,2014,Karnataka,Included,2.98,2.65,12,0.33,11.07,Hyundai
Renault Kwid, CLIMBER 1.0 AMT Dual Tone ,10758,Petrol,Auto,KA-01,8124.0,bangalore,2022,Karnataka,Included,4.6,4.6,4,0.0,0.0,Renault
Maruti Alto K10, VXi (O),23717,Petrol,Manual,PB-10,6655.0,Chandigarh,2025,Punjab,Included,4.47,3.77,1,0.7,15.66,Maruti
Renault Kwid, RXL,57108,Petrol,Manual,PB-12,3634.0,Chandigarh,2015,Punjab,Included,1.38,1.38,11,0.0,0.0,Renault
Maruti Alto K10, VXI,74169,Petrol,Manual,PB-30,4783.0,Chandigarh,2016,Punjab,Included,2.51,2.15,10,0.36,14.34,Maruti
Renault Kwid, RXT 1.0 (O),67064,Petrol,Manual,PB-19,3884.0,Chandigarh,2018,Punjab,Included,2.23,2.2,8,0.03,1.35,Renault
